epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,4620.21,1.69833,1.17647,1.3103,0.87134,0.78777,0.8505,0.37241,1.88688,1.03437,1.43766,0.001387,0.001387,0.001387
89,4672.86,1.6819,1.16297,1.30084,0.87621,0.78512,0.84919,0.37134,1.88486,1.03778,1.43663,0.001288,0.001288,0.001288
90,4725.34,1.68016,1.16034,1.3074,0.86931,0.79165,0.85098,0.37287,1.88202,1.03792,1.4379,0.001189,0.001189,0.001189
91,4778.04,1.65589,1.01157,1.41197,0.87716,0.7823,0.85053,0.37215,1.88372,1.03021,1.43583,0.00109,0.00109,0.00109
92,4830.26,1.65404,0.99658,1.40803,0.86075,0.79396,0.85067,0.37246,1.88164,1.02914,1.43449,0.000991,0.000991,0.000991
93,4882.59,1.6382,0.98055,1.39978,0.85844,0.80337,0.85369,0.37665,1.87616,1.02161,1.43053,0.000892,0.000892,0.000892
94,4934.9,1.64528,0.97304,1.40828,0.87075,0.80108,0.8564,0.37621,1.87577,1.01823,1.42991,0.000793,0.000793,0.000793
95,4987.12,1.63889,0.96004,1.39912,0.86411,0.80819,0.85364,0.3761,1.879,1.01596,1.43199,0.000694,0.000694,0.000694
96,5039.48,1.63636,0.9598,1.40121,0.86544,0.79572,0.84832,0.37419,1.88055,1.01404,1.43221,0.000595,0.000595,0.000595
97,5091.81,1.63667,0.95523,1.39418,0.86514,0.79769,0.84886,0.37414,1.88242,1.01406,1.43256,0.000496,0.000496,0.000496
98,5144.12,1.63601,0.94731,1.39838,0.85938,0.80896,0.85222,0.37324,1.88325,1.01075,1.43256,0.000397,0.000397,0.000397
99,5196.36,1.62599,0.93627,1.39145,0.86515,0.80757,0.85239,0.37346,1.8844,1.00843,1.43228,0.000298,0.000298,0.000298
100,5248.55,1.63279,0.93419,1.39817,0.86702,0.80942,0.85463,0.37396,1.88611,1.00667,1.43349,0.000199,0.000199,0.000199
