                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.79961,                0.49091,                0.96972,                0.86394,                0.80697,                0.86444,                 0.3763,                 1.9882,                0.86779,                 1.6825,              0.0006641,              0.0006641,              0.0006641
                     68,                0.80086,                0.49468,                0.97499,                0.86662,                0.80747,                0.85892,                0.36852,                 1.9823,                0.93516,                 1.6748,             0.00065277,             0.00065277,             0.00065277
                     69,                 0.7858,                0.49142,                 0.9687,                0.86859,                0.81953,                0.86468,                0.37452,                 1.9842,                0.85022,                 1.6866,             0.00064139,             0.00064139,             0.00064139
                     70,                0.77568,                 0.4739,                0.96459,                0.88278,                0.82335,                0.87568,                0.37786,                 1.9893,                0.84677,                 1.7005,             0.00062998,             0.00062998,             0.00062998
                     71,                0.77712,                0.48064,                0.96108,                0.85782,                0.79973,                0.86349,                0.37869,                 1.9755,                0.86712,                 1.6771,             0.00061854,             0.00061854,             0.00061854
                     72,                0.77079,                0.48028,                0.96402,                0.86571,                0.82322,                0.86934,                0.37693,                 1.9763,                0.84902,                 1.6772,             0.00060707,             0.00060707,             0.00060707
                     73,                0.75947,                0.46632,                0.95255,                0.88254,                0.83692,                0.88979,                0.38098,                 1.9984,                0.84171,                 1.7078,             0.00059559,             0.00059559,             0.00059559
                     74,                0.76721,                0.47587,                0.95808,                0.85479,                 0.8242,                0.87031,                0.37808,                 1.9947,                0.86689,                 1.6925,             0.00058408,             0.00058408,             0.00058408
                     75,                0.74609,                0.46505,                0.95202,                0.86878,                0.82736,                0.87645,                0.38311,                 1.9895,                0.84732,                 1.6894,             0.00057257,             0.00057257,             0.00057257
                     76,                0.74977,                  0.464,                0.95338,                 0.8736,                0.82712,                 0.8734,                0.37613,                 1.9938,                0.83139,                 1.6908,             0.00056106,             0.00056106,             0.00056106
                     77,                0.74667,                0.45838,                0.94897,                0.85603,                0.84018,                0.88218,                0.38386,                 1.9949,                0.83447,                 1.6877,             0.00054954,             0.00054954,             0.00054954
                     78,                0.73744,                0.46202,                0.94758,                0.87616,                0.83356,                0.88307,                 0.3815,                 1.9991,                 0.8101,                 1.7001,             0.00053803,             0.00053803,             0.00053803
                     79,                0.73145,                0.44367,                 0.9456,                 0.8654,                0.83367,                0.87542,                0.37942,                 1.9937,                 0.8253,                 1.6933,             0.00052652,             0.00052652,             0.00052652
                     80,                0.72644,                0.44706,                0.94398,                0.87266,                0.84274,                0.88474,                 0.3834,                  2.004,                0.84806,                 1.7072,             0.00051504,             0.00051504,             0.00051504
                     81,                0.72723,                0.44634,                0.94573,                0.87576,                0.83805,                0.88525,                0.38239,                 1.9932,                0.82133,                 1.6911,             0.00050357,             0.00050357,             0.00050357
                     82,                0.72066,                0.43915,                0.94482,                0.90329,                0.82251,                0.88177,                0.38173,                 1.9918,                0.82103,                 1.6884,             0.00049213,             0.00049213,             0.00049213
                     83,                0.69976,                0.42809,                0.93673,                0.88044,                 0.8216,                0.87645,                 0.3871,                 1.9851,                0.84386,                 1.6904,             0.00048072,             0.00048072,             0.00048072
